"Transaction Date/Time","Transaction Type","Operator","Location / Route","Description","Amount"
"03/13/2015  8:05:18 AM","Use","CTA Rail","Red-Argyle","Pending Trip Pricing","$0.00"
"03/12/2015  9:43:45 PM","Use","CTA Rail","Red-SS-Lake-Randolph","Pending Trip Pricing","$0.00"
"03/12/2015  5:17:44 PM","Use","CTA Rail","Loop-Quincy/Wells","CTA/Pace 30-Day Pass","$0.00"
"03/12/2015  8:25:49 AM","Transfer","CTA Rail","Red-Belmont","CTA/Pace 30-Day Pass","$0.00"
"03/12/2015  8:12:01 AM","Use","CTA Bus","77 Belmont","CTA/Pace 30-Day Pass","$0.00"
"03/11/2015  8:48:51 PM","Transfer","CTA Bus","77 Belmont","CTA/Pace 30-Day Pass","$0.00"
"03/11/2015  8:34:12 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"03/11/2015  5:25:44 PM","Use","CTA Rail","Red-SS Adams-Jackson","CTA/Pace 30-Day Pass","$0.00"
"03/11/2015  8:37:09 AM","Use","CTA Rail","Red-Belmont","CTA/Pace 30-Day Pass","$0.00"
"03/10/2015  5:54:20 PM","Use","CTA Bus","60 Blue Island","CTA/Pace 30-Day Pass","$0.00"
"03/10/2015  8:37:48 AM","Transfer","CTA Bus","151 Sheridan","CTA/Pace 30-Day Pass","$0.00"
"03/10/2015  8:05:52 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"03/09/2015  8:14:33 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"03/09/2015  5:26:59 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"03/09/2015  9:05:31 AM","Transfer","CTA Bus","126 Jackson","CTA/Pace 30-Day Pass","$0.00"
"03/09/2015  8:29:24 AM","Use","CTA Rail","Red-Lawrence","CTA/Pace 30-Day Pass","$0.00"
"03/08/2015  8:27:52 PM","Use","CTA Rail","Red-Belmont","CTA/Pace 30-Day Pass","$0.00"
"03/08/2015  6:29:07 PM","Use","CTA Rail","Red-Argyle","Transit Value","-$2.25"
"03/08/2015  6:29:04 PM","Transfer","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"03/08/2015  5:34:17 PM","Use","CTA Rail","Red-Grand","CTA/Pace 30-Day Pass","$0.00"
"03/08/2015  3:29:23 PM","Use","CTA Bus","22 Clark","CTA/Pace 30-Day Pass","$0.00"
"03/08/2015  1:11:38 PM","Transfer","CTA Rail","Red-Fullerton","CTA/Pace 30-Day Pass","$0.00"
"03/08/2015  11:22:25 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"03/06/2015  4:55:21 PM","Use","CTA Rail","Red-SS Adams-Jackson","CTA/Pace 30-Day Pass","$0.00"
"03/06/2015  7:16:24 AM","Use","CTA Rail","Red-Belmont","CTA/Pace 30-Day Pass","$0.00"
"03/05/2015  5:55:41 PM","Transfer","CTA Bus","82 Kimball-Homan","CTA/Pace 30-Day Pass","$0.00"
"03/05/2015  4:49:49 PM","Use","CTA Rail","Loop-Quincy/Wells","CTA/Pace 30-Day Pass","$0.00"
"03/05/2015  8:01:33 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"03/04/2015  8:23:16 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"03/04/2015  5:37:18 PM","Use","CTA Rail","Red-SS Adams-Jackson","CTA/Pace 30-Day Pass","$0.00"
"03/04/2015  8:07:26 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"03/03/2015  8:20:52 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
